Location,Subcategory_ID,Hierarchy_Level,Global_Brand_Owner,Year,Volume_Kl
8,13,1,Others,2018,30373.106
8,13,1,Others,2019,29441.04817
8,13,1,Others,2020,28424.61488
8,13,1,Others,2021,28479.40883
8,8,2,Anheuser-Busch InBev NV,2016,34179.82645
8,8,2,Anheuser-Busch InBev NV,2017,37884.07721
8,8,2,Anheuser-Busch InBev NV,2018,39704.68315
8,8,2,Anheuser-Busch InBev NV,2019,39620.75942
8,8,2,Anheuser-Busch InBev NV,2020,47764.67697
8,8,2,Anheuser-Busch InBev NV,2021,48099.66113
8,8,2,Heineken NV,2016,16583.11569
8,8,2,Heineken NV,2017,16507.60191
8,8,2,Heineken NV,2018,16777.24212
8,8,2,Heineken NV,2019,17292.36725
8,8,2,Heineken NV,2020,17545.01784
8,8,2,Heineken NV,2021,19170.10151
8,8,2,China Resources Holdings Co Ltd,2019,11651.57004
8,8,2,China Resources Holdings Co Ltd,2020,11715.00041
8,8,2,China Resources Holdings Co Ltd,2021,11889.36941
8,8,2,Carlsberg A/S,2016,10117.16566
8,8,2,Carlsberg A/S,2017,11456.05121
8,8,2,Carlsberg A/S,2018,11086.22335
8,8,2,Carlsberg A/S,2019,10680.4167
8,8,2,Carlsberg A/S,2020,10615.59471
8,8,2,Carlsberg A/S,2021,10511.35019
8,8,2,Dragonyte Brewery,2016,5804.005206
8,8,2,Dragonyte Brewery,2017,5707.258072
8,8,2,Dragonyte Brewery,2018,5586.572425
8,8,2,Dragonyte Brewery,2019,5526.946699
8,8,2,Dragonyte Brewery,2020,8869.750363
8,8,2,Dragonyte Brewery,2021,8669.834024
8,8,2,Tsingtao Brewery Co Ltd,2016,7827.514392
8,8,2,Tsingtao Brewery Co Ltd,2017,8605.243361
8,8,2,Tsingtao Brewery Co Ltd,2018,9046.462091
8,8,2,Tsingtao Brewery Co Ltd,2019,8466.449143
8,8,2,Tsingtao Brewery Co Ltd,2020,7941.05302
8,8,2,Tsingtao Brewery Co Ltd,2021,8057.106707
8,8,2,Asahi Group Holdings Ltd,2016,2378.935333
8,8,2,Asahi Group Holdings Ltd,2017,2180.261275
8,8,2,Asahi Group Holdings Ltd,2018,2155.172
8,8,2,Asahi Group Holdings Ltd,2019,2117.323062
8,8,2,Asahi Group Holdings Ltd,2020,6129.526883
8,8,2,Asahi Group Holdings Ltd,2021,6090.759011
8,8,2,Beijing Yanjing Brewery Co Ltd,2016,5373.663143
8,8,2,Beijing Yanjing Brewery Co Ltd,2017,5685.392531
8,8,2,Beijing Yanjing Brewery Co Ltd,2018,5327.913006
8,8,2,Beijing Yanjing Brewery Co Ltd,2019,4837.773921
8,8,2,Beijing Yanjing Brewery Co Ltd,2020,4493.505283
8,8,2,Beijing Yanjing Brewery Co Ltd,2021,4684.668565
8,8,2,Kirin Holdings Co Ltd,2016,4653.005968
8,8,2,Kirin Holdings Co Ltd,2017,4405.83813
8,8,2,Kirin Holdings Co Ltd,2018,4151.387256
8,8,2,Kirin Holdings Co Ltd,2019,3940.587141
8,8,2,Kirin Holdings Co Ltd,2020,3648.690982
8,8,2,Kirin Holdings Co Ltd,2021,2345.917806
8,8,2,Constellation Brands Inc,2017,1506.373456
8,8,2,Constellation Brands Inc,2018,1670.81799
8,8,2,Constellation Brands Inc,2019,1859.01324
8,8,2,Constellation Brands Inc,2020,2073.769716
8,8,2,Constellation Brands Inc,2021,2303.541389
8,8,2,San Miguel Corp,2016,1540.357029
8,8,2,San Miguel Corp,2017,1573.172872
8,8,2,San Miguel Corp,2018,1625.864903
8,8,2,San Miguel Corp,2019,1655.358583
8,8,2,San Miguel Corp,2020,1905.607804
8,8,2,San Miguel Corp,2021,2168.907573
8,8,2,Saigon Alcohol Beer & Beverages Corp (Sabeco),2016,1242.829815
8,8,2,Saigon Alcohol Beer & Beverages Corp (Sabeco),2017,1298.701333
8,8,2,Saigon Alcohol Beer & Beverages Corp (Sabeco),2018,1339.999942
8,8,2,Saigon Alcohol Beer & Beverages Corp (Sabeco),2019,1396.799968
8,8,2,Saigon Alcohol Beer & Beverages Corp (Sabeco),2020,1527.453242
8,8,2,Saigon Alcohol Beer & Beverages Corp (Sabeco),2021,1654.317818
8,8,2,Cervejaria PetrÃ³polis SA,2016,1459.827584
8,8,2,Cervejaria PetrÃ³polis SA,2017,1485.793696
8,8,2,Cervejaria PetrÃ³polis SA,2018,1626.360848
8,8,2,Cervejaria PetrÃ³polis SA,2019,1599.658898
8,8,2,Cervejaria PetrÃ³polis SA,2020,1566.680054
8,8,2,Cervejaria PetrÃ³polis SA,2021,1572.309994
8,8,2,Anadolu Group,2016,2341.128095
8,8,2,Anadolu Group,2017,2015.309726
8,8,2,Anadolu Group,2018,1824.149487
8,8,2,Anadolu Group,2019,1517.753363
8,8,2,Anadolu Group,2020,1474.144451
8,8,2,Anadolu Group,2021,1466.569307
8,8,2,Suntory Holdings Ltd,2016,1541.800636
8,8,2,Suntory Holdings Ltd,2017,1583.195844
8,8,2,Suntory Holdings Ltd,2018,1576.124972
8,8,2,Suntory Holdings Ltd,2019,1460.200336
8,8,2,Suntory Holdings Ltd,2020,1344.677155
8,8,2,Suntory Holdings Ltd,2021,1314.196229
8,8,2,UB Group,2016,916.655869
8,8,2,UB Group,2017,952.322474
8,8,2,UB Group,2018,1030.465984
8,8,2,UB Group,2019,1077.849661
8,8,2,UB Group,2020,1209.021109
8,8,2,UB Group,2021,1234.925975
8,8,2,Henan Jinxing Brewery Group,2016,1629.87003
8,8,2,Henan Jinxing Brewery Group,2017,1466.889897
8,8,2,Henan Jinxing Brewery Group,2018,1246.850022
8,8,2,Henan Jinxing Brewery Group,2019,1309.192536
8,8,2,Henan Jinxing Brewery Group,2020,1267.298411
8,8,2,Henan Jinxing Brewery Group,2021,1193.795143
8,8,2,Guangzhou Zhujiang Brewery Co Ltd,2016,1174.469976
8,8,2,Guangzhou Zhujiang Brewery Co Ltd,2017,1114.000025
8,8,2,Guangzhou Zhujiang Brewery Co Ltd,2018,1169.900044
8,8,2,Guangzhou Zhujiang Brewery Co Ltd,2019,1159.799997
8,8,2,Guangzhou Zhujiang Brewery Co Ltd,2020,1161.999971
8,8,2,Guangzhou Zhujiang Brewery Co Ltd,2021,1150.379966
